Row_Number,Gender,Location,Time,Race,Time_Spent_Homeless,Method_Found,Eligible,Preffered_Acommodation,Accepted_Acommodation
89,Female,Small Heath,10AM,European,1-3 Months,Friend,1,0,0
90,Male,Tyseley,12PM,Pakistani,1-3 Months,Friend,1,0,0
91,Male,Sparkhill,12PM,Pakistani,Less than a month,Referral,1,1,1
92,Male,Other,12PM,White,Less than a month,Friend,1,0,0
93,Female,Other,4PM,European,Less than a month,Referral,1,1,1
94,Male,Sparkhill,2PM,White,Less than a month,Phone,1,0,0
95,Male,Sutton Coldfield,12PM,Black,4-6 Months,Friend,1,1,1
96,Female,Acocks Green,10AM,White,7-12 months,Friend,0,0,0
97,Female,Balsall Heath,4PM,Bangladeshi,Less than a month,Other,1,0,0
98,Male,Yardley,2PM,White,Less than a month,Referral,1,1,1
99,Female,Small Heath,4PM,Indian,1-3 Months,Friend,1,0,0
100,Female,Erdington,12PM,White,Less than a month,Referral,1,0,0
101,Male,Yardley,4PM,Bangladeshi,4-6 Months,Other,1,1,1
102,Female,Other,12PM,Bangladeshi,7-12 months,Referral,1,0,0
103,Male,Erdington,12PM,White,1-3 Months,Themselves,1,1,1
104,Male,Other,10AM,European,Less than a month,Friend,1,1,1
105,Female,Other,2PM,European,1-3 Months,Friend,1,1,1
106,Female,Digbeth,10AM,Black,1-3 Months,Referral,1,0,0
107,Female,Balsall Heath,4PM,White,More than 1 year,Online,1,1,1
108,Male,Sparkbrook,10AM,Pakistani,4-6 Months,Referral,0,0,0
109,Male,Balsall Heath,12PM,Other,Less than a month,Themselves,1,1,1
110,Male,Other,10AM,Indian,4-6 Months,Referral,1,1,1
111,Female,Perry Barr,4PM,White,Less than a month,Themselves,1,1,1
112,Female,Other,2PM,Indian,More than 1 year,Online,1,0,0
113,Male,Yardley,10AM,White,4-6 Months,Referral,1,1,1
114,Female,Stechford,12PM,Pakistani,4-6 Months,Friend,1,0,0
115,Male,Acocks Green,2PM,White,Less than a month,Referral,1,0,0
116,Male,Erdington,2PM,White,4-6 Months,Friend,1,0,0
117,Male,Small Heath,4PM,Other,Less than a month,Friend,0,0,0
118,Female,Aston,12PM,Pakistani,4-6 Months,Online,0,0,0
119,Male,Perry Barr,10AM,European,Less than a month,Online,0,1,0
120,Male,Other,2PM,European,More than 1 year,Friend,1,1,1
121,Male,Acocks Green,4PM,Indian,Less than a month,Phone,1,1,1
122,Female,Small Heath,12PM,Pakistani,1-3 Months,Themselves,1,0,0
123,Male,Tyseley,12PM,Pakistani,Less than a month,Referral,1,0,0
124,Male,Stechford,2PM,Bangladeshi,Less than a month,Themselves,1,1,1
125,Male,Other,12PM,White,4-6 Months,Referral,1,0,0
126,Male,Sparkbrook,10AM,White,Less than a month,Friend,1,0,0
127,Female,Yardley,10AM,White,Less than a month,Referral,1,1,1
128,Male,Small Heath,10AM,European,4-6 Months,Online,1,1,1
129,Male,Aston,4PM,European,Less than a month,Online,0,0,0
130,Female,Small Heath,10AM,Other,7-12 months,Online,1,0,0
131,Male,Sparkhill,2PM,Bangladeshi,Less than a month,Online,1,0,0
132,Male,Balsall Heath,2PM,European,4-6 Months,Phone,1,1,1
133,Female,Sparkhill,2PM,Black,Less than a month,Other,1,0,0
134,Male,Mosely,10AM,Indian,1-3 Months,Referral,1,1,1
135,Male,Acocks Green,2PM,Bangladeshi,4-6 Months,Referral,1,1,1
136,Male,Stechford,10AM,White,Less than a month,Phone,1,0,0
137,Male,Kings Norton,4PM,Pakistani,Less than a month,Other,1,1,1
138,Male,Aston,10AM,Black,More than 1 year,Themselves,1,1,1
139,Male,Yardley,2PM,White,Less than a month,Referral,1,1,1
140,Female,Sparkbrook,12PM,Black,7-12 months,Phone,1,1,0
141,Female,Small Heath,10AM,Other,Less than a month,Friend,1,1,1
142,Male,Erdington,10AM,Pakistani,1-3 Months,Referral,1,0,0
143,Male,Bordesley Green,10AM,Indian,4-6 Months,Referral,1,1,1
144,Male,Balsall Heath,4PM,Pakistani,Less than a month,Phone,1,0,0
145,Male,Balsall Heath,10AM,Pakistani,7-12 months,Other,1,0,0
146,Male,Sparkbrook,4PM,Bangladeshi,More than 1 year,Referral,1,1,1
147,Male,Erdington,4PM,Indian,Less than a month,Referral,1,0,1
148,Male,Sutton Coldfield,12PM,European,4-6 Months,Friend,1,0,0
149,Male,Balsall Heath,4PM,Pakistani,Less than a month,Phone,1,1,1
150,Female,Other,4PM,European,Less than a month,Friend,1,0,0
151,Female,Sparkbrook,2PM,Bangladeshi,1-3 Months,Referral,1,1,1
152,Male,Sparkhill,4PM,White,Less than a month,Referral,0,0,0
153,Male,Tyseley,10AM,White,7-12 months,Friend,0,1,0
154,Female,Stechford,12PM,Indian,Less than a month,Themselves,1,1,1
155,Male,Acocks Green,10AM,Other,Less than a month,Phone,1,1,1
156,Female,Digbeth,2PM,White,1-3 Months,Friend,1,1,1
157,Male,Acocks Green,10AM,Black,4-6 Months,Referral,1,0,0
158,Female,Tyseley,2PM,Bangladeshi,1-3 Months,Themselves,1,1,1
